Change Document Object,Object Value,Document Number,User,Date,Time,Transaction Code,Change number,Document Number,Created from Planned,Change Flag for Application Object,Language Key,3-Byte field,Data Filter Value for Data Aging
SETS,01060001P0001,885990,SAP_WFRT,2/26/2019,4:36:19 PM,,,,,U,EN,000,
SETS,01060001P0001,885991,SAP_WFRT,2/26/2019,4:36:19 PM,,,,,U,EN,000,
SETS,01060001P0001,886077,SAP_WFRT,2/26/2019,4:36:48 PM,,,,,U,EN,000,
SETS,01060001P0001,886078,SAP_WFRT,2/26/2019,4:36:48 PM,,,,,U,EN,000,
SETS,01060001P0001,886080,SAP_WFRT,2/26/2019,4:36:48 PM,,,,,U,EN,000,
SETS,01060001P0001,886087,SAP_WFRT,2/26/2019,4:36:51 PM,,,,,U,EN,000,
SETS,01060001P0001,886089,SAP_WFRT,2/26/2019,4:36:51 PM,,,,,U,EN,000,
SETS,01060001P0001,886090,SAP_WFRT,2/26/2019,4:36:51 PM,,,,,U,EN,000,
SETS,01060001P0001,886116,SAP_WFRT,2/26/2019,4:37:00 PM,,,,,U,EN,000,
SETS,01060001P0001,886117,SAP_WFRT,2/26/2019,4:37:00 PM,,,,,U,EN,000,
SETS,01060001P0001,886128,SAP_WFRT,2/26/2019,4:37:04 PM,,,,,U,EN,000,
SETS,01060001P0001,886129,SAP_WFRT,2/26/2019,4:37:04 PM,,,,,U,EN,000,
SETS,01060001P0001,886152,SAP_WFRT,2/26/2019,4:37:12 PM,,,,,U,EN,000,
SETS,01060001P0001,886153,SAP_WFRT,2/26/2019,4:37:12 PM,,,,,U,EN,000,
SETS,01060001P0001,886155,SAP_WFRT,2/26/2019,4:37:12 PM,,,,,U,EN,000,
SETS,01060001P0001,886156,SAP_WFRT,2/26/2019,4:37:13 PM,,,,,U,EN,000,
SETS,01060001P0001,886158,SAP_WFRT,2/26/2019,4:37:13 PM,,,,,U,EN,000,
SETS,01060001P0001,886159,SAP_WFRT,2/26/2019,4:37:13 PM,,,,,U,EN,000,
SETS,01060001P0001,886168,SAP_WFRT,2/26/2019,4:37:17 PM,,,,,U,EN,000,
SETS,01060001P0001,886170,SAP_WFRT,2/26/2019,4:37:17 PM,,,,,U,EN,000,
SETS,01060001P0001,886171,SAP_WFRT,2/26/2019,4:37:17 PM,,,,,U,EN,000,
SETS,01060001P0001,886188,SAP_WFRT,2/26/2019,4:37:23 PM,,,,,U,EN,000,
SETS,01060001P0001,886189,SAP_WFRT,2/26/2019,4:37:23 PM,,,,,U,EN,000,
SETS,01060001P0001,886197,SAP_WFRT,2/26/2019,4:37:26 PM,,,,,U,EN,000,
SETS,01060001P0001,886198,SAP_WFRT,2/26/2019,4:37:26 PM,,,,,U,EN,000,
SETS,01060001P0001,886266,SAP_WFRT,2/26/2019,4:37:49 PM,,,,,U,EN,000,
SETS,01060001P0001,886267,SAP_WFRT,2/26/2019,4:37:49 PM,,,,,U,EN,000,
SETS,01060001P0001,886275,SAP_WFRT,2/26/2019,4:37:52 PM,,,,,U,EN,000,
SETS,01060001P0001,886276,SAP_WFRT,2/26/2019,4:37:52 PM,,,,,U,EN,000,
SETS,01060001P0001,886278,SAP_WFRT,2/26/2019,4:37:53 PM,,,,,U,EN,000,
SETS,01060001P0001,886279,SAP_WFRT,2/26/2019,4:37:53 PM,,,,,U,EN,000,
SETS,01060001P0001,886281,SAP_WFRT,2/26/2019,4:37:53 PM,,,,,U,EN,000,
SETS,01060001P0001,886285,SAP_WFRT,2/26/2019,4:37:55 PM,,,,,U,EN,000,
SETS,01060001P0001,886287,SAP_WFRT,2/26/2019,4:37:55 PM,,,,,U,EN,000,
SETS,01060001P0001,886288,SAP_WFRT,2/26/2019,4:37:55 PM,,,,,U,EN,000,
SETS,01060001P0001,886347,SAP_WFRT,2/26/2019,4:38:15 PM,,,,,U,EN,000,
SETS,01060001P0001,886348,SAP_WFRT,2/26/2019,4:38:15 PM,,,,,U,EN,000,
SETS,01060001P0001,886407,SAP_WFRT,2/26/2019,4:38:35 PM,,,,,U,EN,000,
SETS,01060001P0001,886408,SAP_WFRT,2/26/2019,4:38:35 PM,,,,,U,EN,000,
SETS,01060001P0001,886410,SAP_WFRT,2/26/2019,4:38:35 PM,,,,,U,EN,000,
SETS,01060001P0001,886411,SAP_WFRT,2/26/2019,4:38:36 PM,,,,,U,EN,000,
SETS,01060001P0001,886413,SAP_WFRT,2/26/2019,4:38:36 PM,,,,,U,EN,000,
SETS,01060001P0001,886417,SAP_WFRT,2/26/2019,4:38:38 PM,,,,,U,EN,000,
SETS,01060001P0001,886419,SAP_WFRT,2/26/2019,4:38:38 PM,,,,,U,EN,000,
SETS,01060001P0001,886420,SAP_WFRT,2/26/2019,4:38:38 PM,,,,,U,EN,000,
SETS,01060001P0001,886446,SAP_WFRT,2/26/2019,4:38:47 PM,,,,,U,EN,000,
SETS,01060001P0001,886447,SAP_WFRT,2/26/2019,4:38:47 PM,,,,,U,EN,000,
SETS,01060001P0001,886449,SAP_WFRT,2/26/2019,4:38:48 PM,,,,,U,EN,000,
SETS,01060001P0001,886450,SAP_WFRT,2/26/2019,4:38:48 PM,,,,,U,EN,000,
SETS,01060001P0001,886452,SAP_WFRT,2/26/2019,4:38:49 PM,,,,,U,EN,000,
SETS,01060001P0001,886453,SAP_WFRT,2/26/2019,4:38:49 PM,,,,,U,EN,000,
SETS,01060001P0001,886464,SAP_WFRT,2/26/2019,4:38:53 PM,,,,,U,EN,000,
SETS,01060001P0001,886465,SAP_WFRT,2/26/2019,4:38:53 PM,,,,,U,EN,000,
SETS,01060001P0001,886473,SAP_WFRT,2/26/2019,4:38:56 PM,,,,,U,EN,000,
SETS,01060001P0001,886474,SAP_WFRT,2/26/2019,4:38:56 PM,,,,,U,EN,000,
SETS,01060001P0001,886476,SAP_WFRT,2/26/2019,4:38:57 PM,,,,,U,EN,000,
SETS,01060001P0001,886477,SAP_WFRT,2/26/2019,4:38:57 PM,,,,,U,EN,000,
SETS,01060001P0001,886479,SAP_WFRT,2/26/2019,4:38:58 PM,,,,,U,EN,000,
SETS,01060001P0001,886480,SAP_WFRT,2/26/2019,4:38:58 PM,,,,,U,EN,000,
SETS,01060001P0001,886485,SAP_WFRT,2/26/2019,4:39:00 PM,,,,,U,EN,000,
SETS,01060001P0001,886486,SAP_WFRT,2/26/2019,4:39:00 PM,,,,,U,EN,000,
SETS,01060001P0001,886513,SAP_WFRT,2/26/2019,4:39:09 PM,,,,,U,EN,000,
SETS,01060001P0001,886515,SAP_WFRT,2/26/2019,4:39:09 PM,,,,,U,EN,000,
SETS,01060001P0001,886516,SAP_WFRT,2/26/2019,4:39:09 PM,,,,,U,EN,000,
SETS,01060001P0001,886528,SAP_WFRT,2/26/2019,4:39:14 PM,,,,,U,EN,000,
SETS,01060001P0001,886530,SAP_WFRT,2/26/2019,4:39:14 PM,,,,,U,EN,000,
